Company Name,City,Rejection Category,Rejection Reason,Evidence Quality,Notes
Aragen Life Sciences Ltd.,Hyderabad,PE-Owned + CRO,"Quadria Capital PE majority ownership ($100M investment; $1.4B valuation). CRO/service model. 1500+ employees — too large. All three primary disqualifiers present.",High,GVK Bio legacy entity
Eurofins Advinus,Hyderabad,MNC Subsidiary + CRO,"Global Eurofins group subsidiary. Contract research services only. No India-promoter ownership.",High,Genome Valley location
Syngene International (Hyderabad campus),Hyderabad,Large Corp Subsidiary + CRO,"Biocon Group listed subsidiary. CRO drug discovery services. Not a promoter-driven SME.",High,Biocon group company
Averin Biotech Pvt. Ltd.,Hyderabad,Service Company + Training,"Bioinformatics + CRO services with training division. No manufactured product. Revenue model is fee-per-service.",Medium,Training division is a secondary disqualifier signal
Indian Immunologicals Limited,Hyderabad,Government / Institutional Ownership,"NDDB (National Dairy Development Board) subsidiary. Government cooperative ownership structure. Not promoter-driven. Mandate is supply reliability not competitive efficiency — DeepThought value proposition does not land.",High,One of world's largest animal vaccine plants
Garphi Biosciences Pvt. Ltd.,Hyderabad,Consulting / Non-Manufacturer,"Pure pharma consulting model: licensing; M&A advisory; contract R&D strategy. No product manufacturing. Revenue declining -23% CAGR (2022). Founder Venkat Bundla is a commercial executive not a technical product founder.",Medium,TiE Hyderabad member
Cryoviva Biotech,Hyderabad,Service Company,"Stem cell (umbilical cord blood) banking. Revenue model is subscription/storage fee. No manufactured diagnostic or biotech product. Biotech label is misleading.",Medium,Listed as biotech but is a storage service
Bioserve India (Reprocell),Hyderabad,MNC-Acquired + Service,"Originally an Indian biorepository company; now a subsidiary of Japan's Reprocell. MNC ownership post-acquisition. Biorepository is a service model.",Medium,Acquired by Reprocell Japan
LifeCell International,Hyderabad,Service Company,"Stem cell banking and cell therapy services. Storage + processing service revenue model. No manufactured product with technical IP. Biotech label does not imply product manufacturing.",Medium,Listed biotech — actually a service
Oncosimis Biotech Pvt. Ltd.,Hyderabad,Integrity Risk — Pending Verification,"CEO Sudarsanareddy Lokireddy shares name with a researcher whose PhD was revoked by NTU Singapore (2015-2016) following data falsification investigation resulting in 6 paper retractions (Retraction Watch; Fierce Pharma). The Oncosimis medRxiv 2020 paper confirms this individual was at CCMB Annexe II Hyderabad. Cannot confirm or deny these are the same person without direct verification. Excluded pending manual confirmation.",High — verified via Retraction Watch + Fierce Pharma + medRxiv,"If manual verification confirms these are DIFFERENT individuals, Oncosimis may be reconsidered. Revenue ₹2.36Cr (FY2023); DPIIT recognized; CCMB-adjacent location. If same individual, permanent exclusion warranted."
Fortune Biotech Limited,Hyderabad,Insufficient Evidence,"No products identified in public sources. Website content not verified. Founder unknown. Revenue unknown. Cannot score without evidence.",Low,Needs direct investigation before any inclusion consideration
BioReform Pvt. Ltd.,Hyderabad,Insufficient Evidence,"Products and manufacturing scope unknown from public sources. Founder unknown. IDA Jeedimetla location suggests manufacturing is plausible but unverified.",Low,Address in manufacturing zone but no confirmable data
BiomatiQ Scientific Pvt. Ltd.,Hyderabad,Ambiguous Business Model,"Claims GMP manufacturing but also includes skill development and distribution. Training/skill development component is a red flag for service-company classification. Product line unclear.",Low,Needs direct investigation
Globion India Pvt. Ltd.,Hyderabad,Wrong Segment,"Veterinary biologicals manufacturer. Outside target segments (specialty biotech / diagnostics / life-science tools for human health). May be a valid Federer in a different ICP for DeepThought but not for this segment brief.",Medium,Could be revisited for a veterinary ICP
Krebs Biochemicals & Industries Ltd.,Hyderabad,Commodity Manufacturing,"API manufacturing via chemical synthesis + fermentation. MNC contract manufacturing as primary model. No branded product with IP. Not in diagnostics or life-science tools segment. Commodity-adjacent.",Low,Genome Valley location but wrong ICP
